GPU,Network,Blocksize,Time,Speedup,Average,Speedup,,,GPU,Network,Speedup,,GPU,Network,Time
1080,HumanGO_ER,32,187682,17.08954508,232666.125,1.239682681,,,1080,HumanGO_ER,14.21287972,,1080,HumanGO_ER,232666.125
1080,HumanGO_ER,64,215182,15.44028776,232666.125,1.08125273,,,k20c,HumanGO_ER,13.78949662,,1080,HumanGO_GEO,253804.4375
1080,HumanGO_ER,96,218884,15.31228413,232666.125,1.062965429,,,k40c,HumanGO_ER,13.85026412,,1080,HumanGO_RW,3276159.063
1080,HumanGO_ER,128,221645,15.25192086,232666.125,1.049724221,,,1080,HumanGO_GEO,13.00336476,,1080,HumanGO_SF,1673093.625
1080,HumanGO_ER,160,226881,14.60198077,232666.125,1.025498499,,,k20c,HumanGO_GEO,13.90217277,,1080,HumanPPI_ER,136159.75
1080,HumanGO_ER,192,224047,14.94826086,232666.125,1.038470165,,,k40c,HumanGO_GEO,13.73108027,,1080,HumanPPI_GEO,149492.0625
1080,HumanGO_ER,224,218462,15.23756077,232666.125,1.065018745,,,1080,HumanGO_SF,1.958393499,,1080,HumanPPI_RW,2938498.563
1080,HumanGO_ER,256,230497,14.52648408,232666.125,1.009410643,,,k20c,HumanGO_SF,2.473852792,,1080,HumanPPI_SF,945707.3125
1080,HumanGO_ER,288,224891,14.62491607,232666.125,1.03457286,,,k40c,HumanGO_SF,2.418047557,,1080,YeastGO_ER,97269.5625
1080,HumanGO_ER,320,238208,13.76033551,232666.125,0.976735143,,,1080,HumanPPI_ER,21.78492802,,1080,YeastGO_GEO,100223.9375
1080,HumanGO_ER,352,246404,13.33539228,232666.125,0.944246542,,,k20c,HumanPPI_ER,20.46800648,,1080,YeastGO_RW,916566
1080,HumanGO_ER,384,279842,11.39877502,232666.125,0.831419605,,,k40c,HumanPPI_ER,19.90660916,,1080,YeastGO_SF,551162.1875
1080,HumanGO_ER,416,256416,12.19553772,232666.125,0.907377562,,,1080,HumanPPI_GEO,20.07371553,,k20c,HumanGO_ER,562759.5625
1080,HumanGO_ER,448,240470,13.39917245,232666.125,0.967547407,,,k20c,HumanPPI_GEO,21.24502809,,k20c,HumanGO_GEO,555757.6875
1080,HumanGO_ER,480,268890,11.90336197,232666.125,0.865283666,,,k40c,HumanPPI_GEO,20.4109004,,k20c,HumanGO_RW,7610094.875
1080,HumanGO_ER,512,224257,14.38026015,232666.125,1.037497715,,,1080,HumanPPI_SF,3.10845883,,k20c,HumanGO_SF,3086778
1080,HumanGO_GEO,32,202904,15.80747546,253804.4375,1.250859705,,,k20c,HumanPPI_SF,3.528990829,,k20c,HumanPPI_ER,364206.25
1080,HumanGO_GEO,64,245609,13.52748474,253804.4375,1.033367822,,,k40c,HumanPPI_SF,3.130721664,,k20c,HumanPPI_GEO,336383.6875
1080,HumanGO_GEO,96,253477,13.22255668,253804.4375,1.001291784,,,1080,YeastGO_ER,9.703896771,,k20c,HumanPPI_RW,7610094.875
1080,HumanGO_GEO,128,268272,12.60106161,253804.4375,0.946071291,,,k20c,YeastGO_ER,9.919299871,,k20c,HumanPPI_SF,3086778
1080,HumanGO_GEO,160,246778,13.42466508,253804.4375,1.028472706,,,k40c,YeastGO_ER,9.092397063,,k20c,YeastGO_ER,217181.1875
1080,HumanGO_GEO,192,246090,13.60930148,253804.4375,1.031348033,,,1080,YeastGO_GEO,9.328371226,,k20c,YeastGO_GEO,215840.3125
1080,HumanGO_GEO,224,234603,14.18919622,253804.4375,1.081846513,,,k20c,YeastGO_GEO,9.846749282,,k20c,YeastGO_RW,2077843.688
1080,HumanGO_GEO,256,251652,13.30532243,253804.4375,1.00855323,,,k40c,YeastGO_GEO,9.846749282,,k20c,YeastGO_SF,1241661.188
1080,HumanGO_GEO,288,235656,13.95683539,253804.4375,1.077012414,,,1080,YeastGO_SF,1.663638023,,k40c,HumanGO_ER,507919.9375
1080,HumanGO_GEO,320,292444,11.20837494,253804.4375,0.867873636,,,k20c,YeastGO_SF,1.673500784,,k40c,HumanGO_GEO,511904.0625
1080,HumanGO_GEO,352,271305,12.11143916,253804.4375,0.935494877,,,k40c,YeastGO_SF,1.617109838,,k40c,HumanGO_RW,6888073.938
1080,HumanGO_GEO,384,250747,12.72141242,253804.4375,1.012193316,,,,,,,k40c,HumanGO_SF,2855233.938
1080,HumanGO_GEO,416,266373,11.73966956,253804.4375,0.952815929,,,,,,,k40c,HumanPPI_ER,326292.1875
1080,HumanGO_GEO,448,261179,12.33674606,253804.4375,0.971764336,,,,,,,k40c,HumanPPI_GEO,315976.25
1080,HumanGO_GEO,480,241183,13.27081511,253804.4375,1.052331373,,,,,,,k40c,HumanPPI_RW,6267349.563
1080,HumanGO_GEO,512,292599,11.02147991,253804.4375,0.867413892,,,,,,,k40c,HumanPPI_SF,2024795.188
1080,HumanGO_RW,32,3207400,,3276159.063,1.021437633,,,,,,,k40c,YeastGO_ER,210370.125
1080,HumanGO_RW,64,3322472,,3276159.063,0.986060699,,,,,,,k40c,YeastGO_GEO,204161.875
1080,HumanGO_RW,96,3351614,,3276159.063,0.977486985,,,,,,,k40c,YeastGO_RW,1823314.5
1080,HumanGO_RW,128,3380512,,3276159.063,0.969131026,,,,,,,k40c,YeastGO_SF,1128008.938
1080,HumanGO_RW,160,3312912,,3276159.063,0.988906153,,,,,,,,,
1080,HumanGO_RW,192,3349113,,3276159.063,0.978216938,,,,,,,,,
1080,HumanGO_RW,224,3328828,,3276159.063,0.984177934,,,,,,,,,
1080,HumanGO_RW,256,3348311,,3276159.063,0.978451244,,,,,,,,,
1080,HumanGO_RW,288,3289012,,3276159.063,0.996092159,,,,,,,,,
1080,HumanGO_RW,320,3277822,,3276159.063,0.99949267,,,,,,,,,
1080,HumanGO_RW,352,3285894,,3276159.063,0.997037355,,,,,,,,,
1080,HumanGO_RW,384,3189856,,3276159.063,1.027055473,,,,,,,,,
1080,HumanGO_RW,416,3127131,,3276159.063,1.047656482,,,,,,,,,
1080,HumanGO_RW,448,3222099,,3276159.063,1.016777902,,,,,,,,,
1080,HumanGO_RW,480,3200695,,3276159.063,1.023577399,,,,,,,,,
1080,HumanGO_RW,512,3224874,,3276159.063,1.015902966,,,,,,,,,
1080,HumanGO_SF,32,1640776,1.95480675,1673093.625,1.019696549,,,,,,,,,
1080,HumanGO_SF,64,1685028,1.971760707,1673093.625,0.992917403,,,,,,,,,
1080,HumanGO_SF,96,1689210,1.984131044,1673093.625,0.990459224,,,,,,,,,
1080,HumanGO_SF,128,1697390,1.991594153,1673093.625,0.985686039,,,,,,,,,
1080,HumanGO_SF,160,1665896,1.98866676,1673093.625,1.004320573,,,,,,,,,
1080,HumanGO_SF,192,1656602,2.021676299,1673093.625,1.009955092,,,,,,,,,
1080,HumanGO_SF,224,1709406,1.947359492,1673093.625,0.978757314,,,,,,,,,
1080,HumanGO_SF,256,1738156,1.926358163,1673093.625,0.962568161,,,,,,,,,
1080,HumanGO_SF,288,1668538,1.971193943,1673093.625,1.002730309,,,,,,,,,
1080,HumanGO_SF,320,1692878,1.936242305,1673093.625,0.988313171,,,,,,,,,
1080,HumanGO_SF,352,1617084,2.031987207,1673093.625,1.034636188,,,,,,,,,
1080,HumanGO_SF,384,1626934,1.960654827,1673093.625,1.028372156,,,,,,,,,
1080,HumanGO_SF,416,1665630,1.877446372,1673093.625,1.004480962,,,,,,,,,
1080,HumanGO_SF,448,1676675,1.921719475,1673093.625,0.997864002,,,,,,,,,
1080,HumanGO_SF,480,1652951,1.936352015,1673093.625,1.012185857,,,,,,,,,
1080,HumanGO_SF,512,1686344,1.912346473,1673093.625,0.992142543,,,,,,,,,
1080,HumanPPI_ER,32,108241,26.85826073,136159.75,1.257931375,,,,,,,,,
1080,HumanPPI_ER,64,134892,22.08700294,136159.75,1.009398259,,,,,,,,,
1080,HumanPPI_ER,96,123590,24.57357391,136159.75,1.101705235,,,,,,,,,
1080,HumanPPI_ER,128,143892,21.17143413,136159.75,0.946263517,,,,,,,,,
1080,HumanPPI_ER,160,126627,23.71062254,136159.75,1.075282128,,,,,,,,,
1080,HumanPPI_ER,192,127432,23.44239281,136159.75,1.068489469,,,,,,,,,
1080,HumanPPI_ER,224,138892,21.43592144,136159.75,0.980328241,,,,,,,,,
1080,HumanPPI_ER,256,134858,21.88473061,136159.75,1.009652746,,,,,,,,,
1080,HumanPPI_ER,288,136941,21.4747519,136159.75,0.994294988,,,,,,,,,
1080,HumanPPI_ER,320,154094,19.18018872,136159.75,0.883614871,,,,,,,,,
1080,HumanPPI_ER,352,127836,22.34622485,136159.75,1.065112723,,,,,,,,,
1080,HumanPPI_ER,384,129393,22.29141453,136159.75,1.052296106,,,,,,,,,
1080,HumanPPI_ER,416,163451,17.59953748,136159.75,0.833031,,,,,,,,,
1080,HumanPPI_ER,448,137822,20.96771198,136159.75,0.987939153,,,,,,,,,
1080,HumanPPI_ER,480,153485,18.51720364,136159.75,0.887120891,,,,,,,,,
1080,HumanPPI_ER,512,137110,21.01787616,136159.75,0.993069433,,,,,,,,,
1080,HumanPPI_GEO,32,111508,26.07135811,149492.0625,1.340639797,,,,,,,,,
1080,HumanPPI_GEO,64,137514,21.66586675,149492.0625,1.087104313,,,,,,,,,
1080,HumanPPI_GEO,96,142244,21.35097438,149492.0625,1.050955137,,,,,,,,,
1080,HumanPPI_GEO,128,150538,20.23675085,149492.0625,0.993052003,,,,,,,,,
1080,HumanPPI_GEO,160,133155,22.54819571,149492.0625,1.122692069,,,,,,,,,
1080,HumanPPI_GEO,192,146222,20.4299695,149492.0625,1.022363683,,,,,,,,,
1080,HumanPPI_GEO,224,143667,20.72346468,149492.0625,1.040545585,,,,,,,,,
1080,HumanPPI_GEO,256,183199,16.10997331,149492.0625,0.816009162,,,,,,,,,
1080,HumanPPI_GEO,288,134819,21.81275636,149492.0625,1.108835272,,,,,,,,,
1080,HumanPPI_GEO,320,138129,21.3970419,149492.0625,1.082264134,,,,,,,,,
1080,HumanPPI_GEO,352,138905,20.5655088,149492.0625,1.076218009,,,,,,,,,
1080,HumanPPI_GEO,384,129079,22.34564104,149492.0625,1.158143947,,,,,,,,,
1080,HumanPPI_GEO,416,173481,16.58200033,149492.0625,0.861720088,,,,,,,,,
1080,HumanPPI_GEO,448,152087,19.00104545,149492.0625,0.982937809,,,,,,,,,
1080,HumanPPI_GEO,480,188386,15.08664657,149492.0625,0.793541253,,,,,,,,,
1080,HumanPPI_GEO,512,188940,15.25225468,149492.0625,0.791214473,,,,,,,,,
1080,HumanPPI_RW,32,2907165,,2938498.563,1.010778048,,,,,,,,,
1080,HumanPPI_RW,64,2979360,,2938498.563,0.986285163,,,,,,,,,
1080,HumanPPI_RW,96,3037048,,2938498.563,0.967550912,,,,,,,,,
1080,HumanPPI_RW,128,3046400,,2938498.563,0.964580673,,,,,,,,,
1080,HumanPPI_RW,160,3002405,,2938498.563,0.978714918,,,,,,,,,
1080,HumanPPI_RW,192,2987311,,2938498.563,0.983660075,,,,,,,,,
1080,HumanPPI_RW,224,2977278,,2938498.563,0.986974868,,,,,,,,,
1080,HumanPPI_RW,256,2951331,,2938498.563,0.995651983,,,,,,,,,
1080,HumanPPI_RW,288,2940774,,2938498.563,0.999226245,,,,,,,,,
1080,HumanPPI_RW,320,2955552,,2938498.563,0.994230033,,,,,,,,,
1080,HumanPPI_RW,352,2856652,,2938498.563,1.028651219,,,,,,,,,
1080,HumanPPI_RW,384,2884353,,2938498.563,1.018772169,,,,,,,,,
1080,HumanPPI_RW,416,2876662,,2938498.563,1.021495943,,,,,,,,,
1080,HumanPPI_RW,448,2889812,,2938498.563,1.016847657,,,,,,,,,
1080,HumanPPI_RW,480,2842113,,2938498.563,1.033913346,,,,,,,,,
1080,HumanPPI_RW,512,2881761,,2938498.563,1.019688504,,,,,,,,,
1080,HumanPPI_SF,32,946987,3.069910147,945707.3125,0.998648675,,,,,,,,,
1080,HumanPPI_SF,64,925909,3.217767621,945707.3125,1.021382568,,,,,,,,,
1080,HumanPPI_SF,96,924770,3.284111725,945707.3125,1.022640562,,,,,,,,,
1080,HumanPPI_SF,128,953117,3.196249778,945707.3125,0.992225836,,,,,,,,,
1080,HumanPPI_SF,160,975139,3.078950796,945707.3125,0.969817957,,,,,,,,,
1080,HumanPPI_SF,192,977437,3.056269611,945707.3125,0.967537869,,,,,,,,,
1080,HumanPPI_SF,224,969117,3.072155374,945707.3125,0.975844312,,,,,,,,,
1080,HumanPPI_SF,256,923189,3.196887095,945707.3125,1.024391877,,,,,,,,,
1080,HumanPPI_SF,288,980096,3.00049587,945707.3125,0.96491294,,,,,,,,,
1080,HumanPPI_SF,320,934438,3.162919316,945707.3125,1.01205999,,,,,,,,,
1080,HumanPPI_SF,352,928714,3.075922189,945707.3125,1.018297681,,,,,,,,,
1080,HumanPPI_SF,384,909682,3.170726694,945707.3125,1.039602094,,,,,,,,,
1080,HumanPPI_SF,416,953086,3.018260682,945707.3125,0.992258109,,,,,,,,,
1080,HumanPPI_SF,448,958716,3.014252396,945707.3125,0.986431135,,,,,,,,,
1080,HumanPPI_SF,480,948063,2.997810272,945707.3125,0.997515263,,,,,,,,,
1080,HumanPPI_SF,512,922857,3.122651722,945707.3125,1.024760404,,,,,,,,,
1080,YeastGO_ER,32,67515,13.67875287,97269.5625,1.440710398,,,,,,,,,
1080,YeastGO_ER,64,93124,9.976139341,97269.5625,1.044516585,,,,,,,,,
1080,YeastGO_ER,96,109477,8.819962184,97269.5625,0.888493131,,,,,,,,,
1080,YeastGO_ER,128,90931,10.38605096,97269.5625,1.069707388,,,,,,,,,
1080,YeastGO_ER,160,91534,10.19565407,97269.5625,1.06266046,,,,,,,,,
1080,YeastGO_ER,192,94129,9.78449787,97269.5625,1.033364452,,,,,,,,,
1080,YeastGO_ER,224,90851,9.927639762,97269.5625,1.070649332,,,,,,,,,
1080,YeastGO_ER,256,94957,9.58206346,97269.5625,1.024353786,,,,,,,,,
1080,YeastGO_ER,288,82913,11.10500163,97269.5625,1.173152129,,,,,,,,,
1080,YeastGO_ER,320,121584,7.507961574,97269.5625,0.800019431,,,,,,,,,
1080,YeastGO_ER,352,86935,10.33620521,97269.5625,1.118876891,,,,,,,,,
1080,YeastGO_ER,384,104890,8.739565259,97269.5625,0.927348293,,,,,,,,,
1080,YeastGO_ER,416,81155,11.11463249,97269.5625,1.198565246,,,,,,,,,
1080,YeastGO_ER,448,116234,7.56421529,97269.5625,0.836842598,,,,,,,,,
1080,YeastGO_ER,480,89672,10.18182933,97269.5625,1.084726141,,,,,,,,,
1080,YeastGO_ER,512,140412,6.362177022,97269.5625,0.692743943,,,,,,,,,
1080,YeastGO_GEO,32,72395,12.7566959,100223.9375,1.384404137,,,,,,,,,
1080,YeastGO_GEO,64,95623,9.715424113,100223.9375,1.048115385,,,,,,,,,
1080,YeastGO_GEO,96,101697,9.494704859,100223.9375,0.985515182,,,,,,,,,
1080,YeastGO_GEO,128,97546,9.681729646,100223.9375,1.027453073,,,,,,,,,
1080,YeastGO_GEO,160,88498,10.54542476,100223.9375,1.132499463,,,,,,,,,
1080,YeastGO_GEO,192,92046,10.00592095,100223.9375,1.088846202,,,,,,,,,
